#node1	node2
Ndufb7	Ndufs1
Ndufb5	Ndufa11
Ndufb4	Ndufa11
Ndufv2	Ndufb7
Ndufs1	Ndufa5
Ndufs7	mt-Nd1
mt-Nd3	Ndufc2
mt-Nd1	Ndufs8
mt-Nd6	Ndufc2
Ndufc1	Ndufa2
Ndufc1	Ndufb9
mt-Nd3	Ndufs8
Ndufa3	Ndufs4
Ndufc1	Ndufs6
Ndufa3	Ndufa1
Ndufc2	Ndufs1
Ndufb10	Ndufa5
Ndufb2	Ndufa9
Ndufb10	Ndufb7
Ndufa12	Ndufb2
Ndufb2	Ndufs6
mt-Nd4	Ndufc2
Ndufa5	Ndufs2
Ndufb2	Ndufb11
Ndufa12	Ndufa3
Ndufc1	Ndufb4
Ndufa8	Ndufa11
mt-Nd4	Ndufs8
Ndufc1	Ndufs3
Ndufb3	Ndufb8
Ndufc1	Ndufa1
Ndufb7	Ndufs4
Ndufb9	Ndufs4
Ndufb6	Ndufa1
Ndufb7	Ndufs2
Ndufb5	Ndufa1
Ndufb2	Ndufs4
Ndufa12	Ndufc1
Ndufb10	Ndufa1
Ndufs5	Ndufa1
Ndufs1	Ndufa11
Ndufa7	Ndufc2
Ndufs5	Ndufa11
mt-Nd5	mt-Nd3
Uqcr10	Cyc1
mt-Nd5	Ndufa2
Uqcrfs1	Cyc1
Ndufs7	Ndufb4
Ndufs7	Ndufa11
mt-Nd5	Ndufa7
Ndufs8	Ndufc1
mt-Nd5	Ndufb4
mt-Nd5	Ndufs2
Uqcrq	Cyc1
Ndufs7	Ndufc1
mt-Nd5	Ndufb9
Ndufb6	mt-Nd5
mt-Nd5	Ndufa3
Ndufc2	Ndufb3
Ndufs4	Ndufa11
mt-Cytb	Cyc1
mt-Nd6	mt-Nd5
mt-Nd5	mt-Nd1
Ndufs8	Ndufa7
Uqcrh	Cyc1
Ndufb10	Ndufb3
Arnt	Hif1a
Ndufc1	Ndufs4
mt-Nd5	Ndufs6
mt-Nd5	Ndufs1
mt-Nd5	mt-Nd2
Cyc1	Uqcrb
Uqcrc2	Cyc1
Ndufv3	Ndufa6
mt-Nd5	Ndufc2
Uqcrc1	Cyc1
Ndufs8	Ndufb10
Ndufa9	Ndufa5
Uqcrq	Uqcrc1
Ndufb11	Ndufs4
Ptcd3	Mrps31
Ndufv3	Ndufa2
Ndufb2	Ndufs7
Ndufs7	Ndufa3
Ndufb2	Ndufv1
Ndufa9	mt-Nd1
Ndufb2	mt-Nd4
Ndufb8	Ndufb4
Ndufb2	Ndufs1
mt-Nd4	Ndufb8
Ndufa9	mt-Nd6
Ndufb2	mt-Nd1
Ndufv2	Ndufb8
Ndufa3	Ndufa10
Ndufb2	Ndufb8
Ndufa13	Ndufb6
Ndufb2	Ndufc2
mt-Nd3	Ndufb8
mt-Nd6	Ndufb8
Ndufb2	mt-Nd3
Ndufb8	Ndufa1
mt-Nd2	Ndufb8
mt-Nd4	Ndufa10
Ndufa7	Ndufb8
Ndufb2	mt-Nd2
Ndufb6	Ndufb8
Ndufc2	Ndufb8
Ndufs1	Ndufb8
Uqcrc2	Uqcrc1
Ndufa3	Ndufs8
Ndufb6	Ndufa9
Pdha1	Pdhb
Ndufa9	Ndufa3
Ndufb2	Ndufb9
Ndufa10	Ndufb8
Ndufa9	mt-Nd4
Ndufa9	mt-Nd2
Ndufa10	Ndufb4
Ndufa12	Ndufa1
Uqcr10	Uqcrc1
Ptcd3	Mrps22
mt-Nd6	Ndufa10
Mrps2	Mrps22
Ndufv3	Ndufab1
Uqcrfs1	Uqcrc1
mt-Nd2	Ndufs4
mt-Nd2	Ndufa10
Ndufb8	Ndufs2
Ndufa9	Ndufc2
mt-Nd1	Ndufa10
Ndufb2	Ndufa10
Ndufc2	Ndufa10
Ndufb11	Ndufb3
Ndufa3	Ndufb8
mt-Nd3	Ndufa10
mt-Nd1	Ndufb8
Ndufb2	mt-Nd6
mt-Nd3	Ndufb3
Ndufc2	Ndufa11
mt-Nd3	Ndufb10
mt-Nd3	Ndufa1
Ndufa5	Ndufa1
mt-Nd6	Ndufc1
Ndufb11	mt-Nd1
mt-Nd1	Ndufa1
Ndufa13	Ndufb10
Ndufb10	Ndufc2
Ndufv1	Ndufa1
Ndufs4	Ndufa1
Ndufs6	Ndufa11
Gclc	Gclm
